PromedioAcumulado,AsistenciaPct,HorasEstudioSem,TareasEntregadasPct,Parcial1,Parcial2,DificultadMateria,IntentosReprobados,PromedioFinal,Aprobado
4.32,95.0,17.0,100.0,3.59,4.15,4,0,3.6609370365947727,1
4.46,66.4,16.5,84.8,4.59,2.29,1,0,3.502752123390303,1
3.91,83.2,8.1,82.6,3.3,3.6,3,0,3.1482858668339104,1
3.63,78.0,8.2,85.9,3.56,2.88,2,0,3.0292738498280523,1
2.88,86.9,9.2,100.0,3.87,3.88,4,1,3.239272348528907,1
2.31,79.7,7.5,53.7,4.25,2.23,3,0,2.6757361144141187,0
3.69,86.7,12.2,98.6,4.11,3.3,2,1,3.405598445569104,1
3.4,84.4,15.9,92.8,4.27,3.08,2,0,3.4418741089124305,1
3.33,85.3,12.1,57.7,2.67,3.87,5,0,2.809890549537532,0
3.8,83.9,8.8,69.5,3.69,3.72,4,0,3.0504765797982762,1
2.93,86.0,11.0,66.2,3.5,2.27,3,0,2.49309324668126,0
4.33,87.1,2.2,58.5,3.21,3.24,5,0,2.649405340830745,0
4.53,85.6,5.5,72.1,3.19,4.07,2,1,3.542667675263204,1
3.94,83.1,8.8,60.0,4.45,3.0,2,0,3.2792134144275047,1
3.45,95.1,12.1,88.1,2.87,4.73,5,2,3.00445524006183,1
3.3,75.7,9.0,100.0,2.19,4.98,4,0,3.0975647963453254,1
3.45,100.0,10.8,68.3,3.11,3.25,1,0,3.4831368845224024,1
3.76,76.2,9.1,62.4,2.69,3.76,3,0,3.1354163189235837,1
4.1,80.2,8.4,97.4,4.16,5.0,3,0,3.918142235903927,1
3.83,66.7,5.4,62.2,3.49,4.02,3,0,3.028643129999128,1
4.23,82.0,11.8,56.2,4.11,4.06,4,0,3.641092282647947,1
3.88,93.8,8.2,70.0,3.1,2.99,5,1,2.5225394139039716,0
4.12,75.4,10.5,91.1,2.97,4.08,3,0,3.3904620605538915,1
3.59,98.7,7.5,83.5,4.51,3.27,1,2,3.7439403340703414,1
3.03,83.2,12.4,96.4,3.73,4.26,4,0,3.4568686714655175,1
4.24,70.9,10.4,64.5,3.55,3.4,1,0,3.406044757713299,1
4.69,76.7,11.1,93.9,3.37,3.59,4,0,2.9409265321155016,0
3.75,89.7,7.0,76.9,2.91,3.19,3,0,2.8310724823908533,0
3.33,79.7,6.7,52.1,3.29,2.58,3,0,2.762653283872644,0
3.84,100.0,11.3,100.0,3.81,3.89,3,0,3.7353089841911586,1
3.42,78.1,4.3,81.3,4.71,3.29,4,0,3.400299321871916,1
3.62,83.9,13.5,100.0,3.88,3.54,4,0,3.2900602014374694,1
3.64,78.7,9.6,98.4,2.49,4.38,5,2,2.8289435093803803,0
3.22,94.2,6.1,95.8,3.73,2.88,4,1,2.8406544099909916,0
3.24,70.1,4.0,100.0,3.89,3.77,3,1,3.1479038715380687,1
3.56,64.4,14.0,63.2,4.62,5.0,2,1,4.418044079750771,1
3.5,79.6,1.0,100.0,4.07,3.0,1,0,3.2738992362872157,1
3.89,82.8,11.9,76.5,3.34,1.86,3,0,2.665564591066936,0
3.74,68.1,10.6,93.8,3.67,5.0,3,2,3.762161028519706,1
3.9,89.3,12.5,81.9,3.21,3.96,3,0,3.1969716064796443,1
3.53,92.1,5.7,94.0,3.69,4.12,4,0,3.6729094174520176,1
3.2,81.5,7.3,78.5,5.0,3.94,3,0,3.776168573310726,1
3.08,78.2,11.3,100.0,4.01,2.88,4,0,2.584530896359798,0
4.09,99.6,10.2,92.1,2.02,3.33,4,0,2.770986096808392,0
3.36,73.9,13.5,62.9,3.57,3.67,2,0,3.5524303956264713,1
3.28,90.3,9.8,86.7,4.47,2.09,3,0,3.1051707797115418,1
4.24,80.2,15.6,90.1,4.03,4.55,5,0,3.427015153684693,1
3.4,86.8,10.6,90.8,3.88,3.82,3,0,3.76447809463355,1
2.51,92.9,16.5,65.8,4.0,4.03,3,0,4.038047031195255,1
3.71,88.2,16.9,76.1,3.48,3.17,1,0,3.4870575139819526,1
3.33,66.9,17.0,84.6,3.59,2.49,5,0,2.598572588324555,0
3.24,94.1,7.1,77.0,3.44,5.0,4,2,3.371448448616125,1
3.53,65.8,14.9,100.0,3.56,3.79,3,0,3.545739329779565,1
2.58,91.6,9.9,78.1,3.41,4.42,3,1,3.6785810087233575,1
2.67,89.5,9.9,66.2,3.83,4.06,3,0,3.5713781934000086,1
3.37,82.2,13.3,78.3,4.62,4.13,2,0,4.167757603978736,1
3.88,89.6,8.6,57.1,2.55,4.49,1,0,3.5142603510640904,1
3.47,73.9,3.3,81.4,3.75,2.73,4,0,2.8694374768477804,0
3.45,71.7,10.1,66.1,3.98,2.77,4,0,2.855285251106247,0
3.6,90.5,17.6,67.5,3.99,2.49,5,2,2.5743416810825313,0
4.05,81.7,8.6,90.1,3.02,3.48,3,0,2.955080525291811,0
3.62,99.9,9.7,52.8,3.24,4.23,3,0,3.5292268854031765,1
3.57,81.4,11.6,75.2,4.28,3.2,3,0,3.500711694803689,1
3.32,74.8,8.5,98.8,3.74,3.84,3,0,3.4351928843216366,1
3.41,100.0,9.2,63.8,3.52,4.35,2,0,3.7791070290170317,1
3.69,70.8,10.5,79.3,3.34,1.51,4,0,2.126683094852687,0
4.26,86.5,8.3,100.0,3.94,3.89,1,0,4.151849214908436,1
3.72,86.1,15.2,98.3,3.53,5.0,3,0,3.774085878716937,1
3.19,92.1,18.5,73.8,4.3,3.39,2,1,3.9740212083438142,1
3.45,81.6,11.8,67.7,2.98,3.45,3,0,3.0304073261791813,1
4.15,82.3,8.0,89.4,3.39,2.96,3,0,3.188637520378435,1
3.64,83.5,12.0,74.8,4.5,3.96,4,0,3.5501427903329255,1
2.91,100.0,5.4,100.0,3.64,4.61,2,0,3.853867283598394,1
3.82,93.7,4.5,88.9,2.62,3.47,3,0,3.03633925076523,1
3.28,76.5,9.7,53.8,4.77,2.8,3,1,3.202685073606268,1
3.03,79.7,15.0,58.6,3.79,4.42,3,0,3.8493215118877275,1
3.64,83.7,15.6,63.6,4.07,3.22,3,0,3.579360873029287,1
3.18,76.0,11.6,67.6,3.05,3.73,5,0,2.8337015773175307,0
4.01,68.9,12.8,78.9,3.22,4.88,1,1,3.842255544319666,1
3.65,78.2,10.9,87.6,3.41,3.82,3,0,3.3875644977784365,1
4.27,75.9,9.6,61.3,3.02,4.42,1,0,3.602858804465728,1
3.77,100.0,5.2,59.3,3.32,4.31,3,1,3.62834413201849,1
3.35,85.8,14.8,63.5,2.89,3.27,3,0,3.158337883568761,1
3.34,70.0,8.3,73.0,2.29,2.11,1,0,2.476976576925376,0
3.42,81.9,13.3,89.2,2.64,4.83,3,0,3.537848649220426,1
3.85,89.4,9.9,63.7,2.99,3.24,4,2,2.653160442146239,0
2.88,92.3,6.2,87.3,3.29,4.42,4,0,3.615030881832155,1
3.74,87.0,6.7,71.6,3.27,4.03,4,0,3.0616252101225734,1
3.14,90.3,7.7,66.7,3.81,4.13,3,0,3.54434640754449,1
4.72,83.6,10.4,74.3,4.62,3.1,1,1,3.623309986002029,1
3.88,83.6,14.7,76.1,3.35,2.9,3,1,3.1079300668456646,1
3.93,100.0,12.8,100.0,3.14,2.88,5,0,3.0385450074166087,1
3.64,79.0,6.8,85.9,4.45,4.06,3,1,3.7729125436876045,1
2.8,72.4,4.7,62.6,3.61,3.02,1,0,3.493028673746751,1
3.61,80.6,12.7,100.0,3.55,4.86,3,1,3.305511732970316,1
3.8,83.9,17.7,100.0,4.21,5.0,5,0,3.837660362763292,1
3.31,69.3,13.8,63.6,3.0,3.45,3,0,3.1013740966629237,1
3.56,90.0,18.1,63.0,3.21,3.3,4,0,3.0566421907102974,1
3.92,78.9,8.0,70.4,3.53,4.96,3,0,3.7512652035332437,1
3.66,61.9,10.0,60.8,4.72,2.85,3,0,3.1535574673293536,1
3.74,84.8,15.3,91.1,2.23,4.03,3,0,3.2344459173686557,1
3.86,76.9,3.5,90.7,3.69,5.0,3,1,3.722675636411064,1
4.22,95.1,11.5,83.9,3.03,3.95,3,1,3.0821411560807146,1
3.18,74.9,11.3,75.2,2.47,3.81,4,2,2.609963772730745,0
4.57,79.6,15.6,84.1,3.13,3.78,3,0,3.2528067328245704,1
4.57,88.4,6.1,74.9,3.6,4.27,2,0,3.762575647459772,1
3.32,81.3,9.1,73.7,3.62,2.69,1,0,3.30946770726723,1
3.94,75.6,7.3,77.5,3.16,4.35,3,1,3.181491639052424,1
4.51,75.5,9.6,82.6,3.99,2.85,3,1,2.9398373012248014,0
4.32,97.0,5.1,86.7,2.38,2.97,2,0,2.7759348719809163,0
2.74,79.7,12.1,64.2,3.24,3.11,4,0,2.9446823695266873,0
3.52,73.0,10.7,77.4,4.17,3.56,4,0,3.1077351765768406,1
3.35,82.5,8.9,80.5,4.02,2.96,2,1,3.4069226169710363,1
4.03,83.5,11.1,79.1,5.0,3.57,4,0,3.7773180666107016,1
4.07,90.7,11.8,51.7,4.12,3.81,4,0,3.378435254588122,1
3.01,72.2,15.9,77.8,2.65,4.58,3,0,3.315711618332134,1
3.25,100.0,9.6,73.7,4.3,3.14,2,0,3.65288765912992,1
2.81,79.6,15.3,67.2,3.28,4.19,3,1,3.38521898399198,1
3.56,100.0,6.7,88.9,4.66,3.27,3,0,3.454950052526272,1
3.46,87.0,7.5,92.5,4.48,3.55,3,1,3.3493416946095973,1
3.83,90.7,16.4,84.7,2.59,3.94,4,0,3.0187385223637575,1
4.5,93.3,14.9,62.4,3.79,4.35,2,0,3.8956420691143285,1
3.73,80.9,3.2,65.2,3.42,3.9,4,0,2.8966395599399593,0
3.45,71.4,1.2,100.0,3.38,3.66,3,0,2.927145402030394,0
4.0,92.2,16.0,99.5,4.84,3.29,5,0,3.1719187417536663,1
3.42,100.0,9.5,89.3,3.69,2.97,2,0,3.4359992244804047,1
3.51,85.1,7.5,66.1,4.26,5.0,3,2,4.015387776721291,1
3.69,85.6,11.0,90.3,4.05,3.85,4,0,3.3537372203942963,1
3.0,88.3,7.7,99.9,3.45,4.57,3,0,3.5495597027059973,1
3.45,70.4,10.0,100.0,3.76,3.84,3,1,3.5427712197856707,1
3.2,96.8,8.8,64.1,2.47,2.62,3,0,2.935066088439297,0
4.0,72.6,8.5,100.0,3.27,4.84,4,0,3.3918729473670366,1
3.09,100.0,2.3,51.6,3.53,2.95,3,1,3.132138139968203,1
3.13,87.6,5.9,100.0,3.51,3.95,4,0,3.2405520048565775,1
3.24,97.8,14.4,73.0,3.48,1.35,3,0,2.677005222442146,0
3.21,67.2,13.1,90.0,3.14,4.31,4,0,3.251822587205284,1
4.44,93.8,10.8,63.2,3.44,3.84,3,0,3.068051538889807,1
4.14,86.9,13.2,96.3,2.56,3.28,1,0,3.4669049882476397,1
